"[-0.05381530791666591, 0.6560745822749028]"
"[0.06328206106101172, 0.9866980499560004]"
"[-0.06644460382989144, 1.0]"
"[-0.5161214191702942, 1.0]"
"[0.13224019292810696, 1.0]"
"[-0.4077542625536522, 1.0]"
"[0.08611527689534464, 1.0]"
"[0.011531187021836337, 1.0]"
"[-0.4232001903960115, 1.0]"
"[-0.04634681677356013, 1.0]"
"[-0.0252525070097087, 1.0]"
"[-0.08462381116506074, 1.0]"
"[-0.00584127174548893, 1.0]"
"[0.12440388566825918, 1.0]"
"[0.18031910212825225, 1.0]"
"[-0.030356352709585616, 1.0]"
"[-0.2444487200193823, 1.0]"
"[0.2531523929197776, 1.0]"
"[-0.4115382262947009, 1.0]"
"[0.490702104945047, 1.0]"
"[-0.3636849422970971, 1.0]"
