"[-0.04341562695420771, 0.21113440678162068]"
"[-0.32432284965156555, 1.0]"
"[-0.27899159869414725, 1.0]"
"[-0.09774306603906706, 1.0]"
"[-0.1589116314185614, 1.0]"
"[-0.5273020197198566, 1.0]"
"[-0.19286340199053736, 1.0]"
"[0.2606635088800556, 1.0]"
"[-0.37058993882201563, 1.0]"
"[0.48318598859768735, 1.0]"
"[0.16439001756915622, 1.0]"
"[-0.01968304440194767, 1.0]"
"[-0.17648688068928192, 1.0]"
"[0.022073375924432335, 1.0]"
"[0.17102113747389786, 1.0]"
"[0.02016001391564798, 1.0]"
"[-0.06042998708710389, 1.0]"
"[-0.13813832478429122, 1.0]"
"[1.0, 1.0]"
"[-0.972998851499703, 1.0]"
"[0.3382669654621817, 1.0]"
