"[-0.4259155548409742, 0.8361492276927851]"
"[0.02316569478533105, 0.9306264670396741]"
"[-0.07004731259519514, 1.0]"
"[-0.6030953653739441, 1.0]"
"[0.04868151560367856, 1.0]"
"[0.10913278159110144, 1.0]"
"[0.22731588003291633, 1.0]"
"[-0.40465252997943635, 1.0]"
"[-0.27712540567474225, 1.0]"
"[-0.017222565699057113, 1.0]"
"[-0.37092988556646744, 1.0]"
"[0.4700125499336785, 1.0]"
"[-0.15245032050242774, 1.0]"
"[0.4445466896217837, 1.0]"
"[0.06455305708551505, 1.0]"
"[-0.27067749212345094, 1.0]"
"[0.3030349968551473, 1.0]"
"[-0.1761581574307255, 1.0]"
"[0.2983041433843251, 1.0]"
"[-0.15329904512319165, 1.0]"
"[-0.020360664773715592, 1.0]"
"[0.18973259822592373, 1.0]"
"[0.08743941662702726, 1.0]"
"[-0.15831307425082655, 1.0]"
"[-0.07566260713487954, 1.0]"
"[0.5969375499676886, 1.0]"
"[-0.440298999384502, 1.0]"
"[-0.8669898569026644, 1.0]"
"[0.6989734093577472, 1.0]"
"[-0.05151889685035076, 1.0]"
"[-0.30041474268621354, 1.0]"
"[0.5878656524730134, 1.0]"
"[0.550027848673565, 1.0]"
"[-0.3004143311702485, 1.0]"
"[-0.417361928942554, 1.0]"
"[0.021415672048568174, 1.0]"
"[0.5994999277107833, 1.0]"
"[-0.5504213896224854, 1.0]"
"[-0.33201315504238665, 1.0]"
"[-1.0, 1.0]"
"[0.015175637826992328, 1.0]"
"[1.0, 0.8953443839283892]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[-0.4815344533818671, 1.0]"
"[-1.0, 0.5110524800666929]"
"[-1.0, 1.0]"
"[0.23815039849042524, 1.0]"
"[0.5098750059564406, 1.0]"
"[1.0, 1.0]"
"[-0.9210058495611078, 0.6005110281549146]"
"[-1.0, 1.0]"
"[-0.04058312670650066, -0.22147152083368074]"
"[0.0559857833236181, -1.0]"
"[0.7289157656863419, 1.0]"
"[-1.0, 0.9507883877963232]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.6481775424863732, 1.0]"
"[-1.0, -0.4854543390113408]"
"[-1.0, -0.4301682178265256]"
"[1.0, -0.544881028605189]"
"[-1.0, -0.2928427205042691]"
"[-1.0, -0.3707305820635227]"
"[-1.0, -0.24679128623420982]"
"[0.9000187671772679, -0.3241754433693406]"
"[-1.0, -0.30398037781735504]"
"[-1.0, 1.0]"
"[1.0, -0.237712792966216]"
"[-0.6524356011660022, -0.20258132431254086]"
"[-1.0, -0.0022811080947821305]"
"[-0.017835337850211214, -0.16825895178913117]"
"[-1.0, -0.020128936071960382]"
"[0.8251559127883161, -0.031057058802400755]"
"[-1.0, -0.021407006648322874]"
"[0.1366448560439441, 0.006274124586404098]"
"[-0.7009198652539601, -0.10402989987189147]"
"[-0.42221819712758174, -0.019053513972882588]"
"[-0.6407849195738466, -0.1303436509727291]"
"[-0.5549260852594021, 0.05639729635908904]"
"[-0.7059317260493776, -0.08778854635429521]"
"[-0.34726695148373765, -0.09020752861201367]"
"[-0.5771245056525199, 0.08571973205546848]"
"[-0.5177858960046982, -0.08885201357519396]"
"[-1.0, 0.06422359929069557]"
"[-0.1730538654131093, 1.0]"
"[-0.9703555167124805, 0.2502885858101834]"
"[-1.0, 0.2581743250491929]"
"[1.0, 0.2901937410979874]"
"[-0.4721276141628577, 1.0]"
"[-0.9169254040212808, 0.3263276633529522]"
"[0.00501074147812058, 0.3124577408502417]"
"[-1.0, 0.3596463372852676]"
"[-0.2786121773461754, 0.6537687931172909]"
"[-0.9947079895985884, 0.5633630983878303]"
"[0.03406327849108565, 0.6740567438823982]"
"[-0.5734787493348069, 0.7680218165478703]"
"[-1.0, 0.4744683905707538]"
"[-0.3942720167426313, 0.5941031495770529]"
"[-1.0, 0.4606107507154757]"
"[-0.4210222526458233, 0.47877848873828116]"
"[-0.9142960284553099, 1.0]"
"[-0.8905605620275454, 0.45082527830843017]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.40626505903029997, 1.0]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[-0.43315025237707294, 0.7080312676565009]"
"[-0.9208211053585063, 1.0]"
"[0.2759523657907518, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.45548415693274624, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[0.7595060002927418, 1.0]"
"[-1.0, 1.0]"
"[0.17314723546226896, 1.0]"
"[-0.0535830521990241, 1.0]"
"[-0.463653882266227, 1.0]"
"[-0.8070989598722355, 1.0]"
"[-0.3979936906337916, 1.0]"
"[0.6948215813729187, 1.0]"
"[-0.0911446123655418, 0.9901470363530509]"
"[-1.0, 1.0]"
"[-0.634476821070662, 0.8640203246466475]"
"[0.6903623634203695, 0.47981725582148954]"
"[0.44525066077207237, 1.0]"
"[-0.5238783713442297, 1.0]"
"[-0.2335008689433712, 1.0]"
"[0.40634726322510034, 1.0]"
"[0.8796542334875657, 0.6362498286577696]"
"[0.05493275853640965, 1.0]"
"[-0.8033259049820404, 1.0]"
"[-0.5154707067269952, 1.0]"
"[1.0, -0.33154977922419143]"
"[0.8391776466058689, 1.0]"
"[-0.4554795361989233, 1.0]"
"[0.9308131072799276, 0.6631665677436988]"
"[1.0, 0.9694086587215432]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[1.0, 0.3039017158989207]"
"[1.0, 1.0]"
"[-1.0, -0.20714349517289468]"
"[1.0, 1.0]"
"[1.0, -1.0]"
"[-1.0, -0.17287901313794043]"
"[1.0, 1.0]"
"[-0.08183935007547116, 1.0]"
"[1.0, -0.13853791366558216]"
"[-1.0, -0.1721140568635636]"
"[-0.3082399645677139, -0.4058336858056869]"
"[1.0, 1.0]"
"[-0.36992086652843026, -0.3190609236916493]"
"[1.0, -0.3090399758066698]"
"[1.0, -0.06605388794396098]"
"[0.5245706846218576, -0.05452660878179519]"
"[0.3460228745307132, -0.21968303920638124]"
"[1.0, -0.04573555881837457]"
"[0.8291209947852494, -0.021185024675766523]"
"[0.09570765559687999, -0.13700406350077413]"
"[0.6318987746104217, -0.09911037042426553]"
"[0.08776859295212683, -0.06575677594188982]"
"[0.18814227172071585, -0.14074244373842815]"
"[1.0, 0.05784191806432222]"
"[0.151964672234556, 0.11349484117560801]"
"[0.08737387995112296, -0.010934623723889703]"
"[0.03228364443713705, 0.17267654296606608]"
"[0.4044424496832556, 0.13880660836889863]"
"[-0.27787178241961313, 0.19733776091067753]"
"[1.0, 0.19744030788649092]"
"[-0.0035312927601945654, 0.16695971206768698]"
"[0.5685579360553054, 0.41284122638042264]"
"[0.22975412879686496, 0.49684795591703573]"
"[-0.5961895510549075, 0.35108714959107495]"
"[0.21188846126446675, 0.33356184992193494]"
"[1.0, 0.3039792704286163]"
"[-0.6427872336552497, 0.288496312962571]"
"[0.1418625286663775, 0.20928707160783094]"
"[1.0, 0.6083701210862824]"
"[0.43967335599081303, 1.0]"
"[0.35762330251308366, 0.5831071713007582]"
"[0.6326566725929447, 0.5314290454291267]"
"[0.5533919994116119, 1.0]"
"[0.712276995716677, 1.0]"
"[0.5979546098621489, 1.0]"
"[1.0, 1.0]"
"[0.33299089138051585, 0.589716009084679]"
"[1.0, 0.40700929200047326]"
"[-0.13019616621475544, 1.0]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[0.0460676714399153, 1.0]"
"[-0.5895221194389749, 1.0]"
"[-1.0, 1.0]"
"[0.5023315884929137, 1.0]"
"[0.06908656232779344, 1.0]"
"[0.7175712380251671, 1.0]"
"[-0.4409412780252233, 1.0]"
"[0.5891550797497543, 1.0]"
"[0.10313372168591523, 1.0]"
"[1.0, 1.0]"
"[-0.3573280295078101, 1.0]"
"[0.3513868469357905, 1.0]"
"[-0.05142353354793697, 1.0]"
"[0.39188006835455036, 1.0]"
"[0.22067737607693438, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[0.16950516432629237, 1.0]"
"[-0.5489632594487063, 1.0]"
"[0.7543343695684295, 1.0]"
"[0.31362492140950055, 1.0]"
"[0.7882302904547576, 1.0]"
"[0.16266050913889438, 1.0]"
"[-0.6903316560069919, 1.0]"
"[0.34762904570253916, 1.0]"
"[0.48557382282494854, 1.0]"
"[0.7505159624785988, 1.0]"
"[-0.47411136188378994, 1.0]"
"[-0.3790025221569265, 1.0]"
"[0.6552236132064538, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.8529366905534167, 1.0]"
"[0.633446615979651, 1.0]"
"[-0.5288902206629431, 1.0]"
"[0.651396693505246, 1.0]"
"[-1.0, 1.0]"
"[-0.8920589498354042, 1.0]"
"[0.045985324554429, 1.0]"
"[0.5696529350140127, 1.0]"
"[0.47936423753090307, 1.0]"
"[-0.8794812963562888, 1.0]"
