"[-0.2790067792645612, 0.3879806256120265]"
"[-0.17274632689217292, 1.0]"
"[-0.26890311501091974, 1.0]"
"[-0.24833391358422707, 1.0]"
"[-0.08654080561360843, 1.0]"
"[-0.2729296354475966, 1.0]"
"[-0.02026258142666179, 1.0]"
"[0.025052030903565073, 1.0]"
"[0.28804606784338704, 1.0]"
"[-0.3897218525951847, 1.0]"
"[0.3226897928183673, 1.0]"
"[-0.5397551585109349, 1.0]"
"[0.2809193435758221, 1.0]"
"[-0.37971580769813995, 1.0]"
"[0.2839517204292712, 1.0]"
"[-0.022034425110043956, 1.0]"
"[-0.20778836014018331, 1.0]"
"[-0.4252558374264868, 1.0]"
"[0.23560909610249525, 1.0]"
"[-0.5096585914945607, 1.0]"
"[0.2292459359630104, 1.0]"
