"[-0.30073027069931635, 0.5148831158490921]"
"[-0.3746448878738216, 0.7364258306280652]"
"[-0.008079802964921945, 1.0]"
"[-0.7333613769580324, 1.0]"
"[0.227199545114805, 1.0]"
"[-0.12586254879320577, 1.0]"
"[-0.19894668976832985, 1.0]"
"[0.11600861504556234, 1.0]"
"[0.1799591593440021, 1.0]"
"[-0.37390112028091727, 1.0]"
"[0.3360632672170726, 1.0]"
"[0.07722326678976678, 1.0]"
"[-0.10370496772438204, 1.0]"
"[0.04128225936687209, 1.0]"
"[0.09917301546890532, 1.0]"
"[0.12015518351752147, 1.0]"
"[0.23223420341921197, 1.0]"
"[-0.4403496152502467, 1.0]"
"[-0.14886735205804455, 1.0]"
"[0.08346006172535778, 1.0]"
"[0.09426163177131637, 1.0]"
