"[-0.07556529076694637, 0.6551057310289753]"
"[-0.3469240626151984, 0.6892945463579795]"
"[0.19239955137589929, 1.0]"
"[-0.17322871980243226, 1.0]"
"[-0.16771329549482475, 1.0]"
"[-0.3882502958925286, 1.0]"
"[-0.1953491835622338, 1.0]"
"[-0.03061538196099667, 1.0]"
"[-0.26071330766630146, 1.0]"
"[0.6596283107786893, 1.0]"
"[-0.07731856869512223, 1.0]"
"[-0.39398455467987864, 1.0]"
"[0.08991109415370804, 1.0]"
"[-0.07693426617862298, 1.0]"
"[0.8060187663192794, 1.0]"
"[-0.3300466445527831, 1.0]"
"[0.8395052197528741, 1.0]"
"[-0.44888701639628165, 1.0]"
"[0.3745630762238932, 1.0]"
"[-0.03890504680949458, 1.0]"
"[0.19027946415878982, 1.0]"
"[-0.19204582048343213, 1.0]"
"[0.10711729122673555, 1.0]"
"[-0.39406808057539805, 1.0]"
"[0.459011084554743, 1.0]"
"[-0.4399616385268721, 1.0]"
"[0.2567169158420749, 1.0]"
"[0.10374270236383237, 1.0]"
"[-0.4775623963445279, 1.0]"
"[0.06911651036137724, 1.0]"
"[0.2555940651937704, 1.0]"
"[-1.0, 1.0]"
"[-0.015447257544636009, 1.0]"
"[-0.7517014766995802, 1.0]"
"[0.16478467225701587, 1.0]"
"[0.5726051306410427, 1.0]"
"[-0.6956340586541641, 1.0]"
"[-0.6588474401791956, 1.0]"
"[1.0, 1.0]"
"[-0.17419468891740172, 1.0]"
"[0.31703219602867627, 0.6709361814271498]"
"[-0.1601778469276623, 1.0]"
"[-1.0, 1.0]"
"[-0.07235651799612627, 0.960485074191366]"
"[0.13497507373450296, 1.0]"
"[-0.8406626777643145, -1.0]"
"[-1.0, 1.0]"
"[0.41027466836230314, 1.0]"
"[0.7167933205391952, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.25097504147608607, 1.0]"
"[1.0, 0.2676942427893384]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.2824168933741652, -0.3105052618883496]"
"[-1.0, -1.0]"
"[-0.7014853387896008, -0.7006756788117157]"
"[1.0, 1.0]"
"[-1.0, -1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.05428726530509689, 1.0]"
"[-1.0, 0.049476437813083474]"
"[1.0, 1.0]"
"[-1.0, 0.33748886267104417]"
"[-1.0, -0.05220115841990371]"
"[-1.0, 1.0]"
"[-1.0, 0.03226387732732211]"
"[0.13006160651678367, -0.0731097944285249]"
"[-1.0, -0.29143773808791906]"
"[-1.0, -0.04317033824851882]"
"[0.21221444473052342, -0.1529382258737441]"
"[-1.0, -0.0054411437890288655]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[0.3691286722125792, -0.25454388202289047]"
"[-0.9685120049737898, -0.09090936428250179]"
"[-1.0, -0.02529601425080362]"
"[-1.0, 0.0728729694517318]"
"[0.3478144587021564, -0.0029910783787491756]"
"[-0.1666689959590155, 0.16893728244717165]"
"[-1.0, 0.2200482545603173]"
"[-1.0, 0.3135575903416724]"
"[-0.6257012409562442, 0.14470060634320425]"
"[-0.1995357446975892, 0.10981399305733641]"
"[-0.3245411638811271, 0.22607711558183316]"
"[-0.5596084293647413, 0.24867794321196393]"
"[0.1821168882000615, 0.13518422220025397]"
"[-0.22075734507645292, 0.17965655893278415]"
"[-0.9069174569537563, 0.3010391755474136]"
"[0.10833294709539351, 1.0]"
"[-0.20593166853844744, 0.17926005541139303]"
"[-1.0, 0.2877572496827082]"
"[0.1531391386364998, 0.30699548571218815]"
"[-1.0, 0.3230760719728789]"
"[0.9154892277030257, 0.2571439296340777]"
"[-1.0, 0.4594704574112495]"
"[0.7262447914719776, 0.41793263735657593]"
"[-0.8139814270507202, 1.0]"
"[-1.0, 1.0]"
"[0.038387623169005944, 1.0]"
"[-0.8956411162222324, 1.0]"
"[-0.8807863826032071, 1.0]"
"[-1.0, 1.0]"
"[0.1994350393605933, 1.0]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.4540645017374293, 1.0]"
"[-1.0, 1.0]"
"[0.7231971189994607, 1.0]"
"[-0.45252886860281305, 1.0]"
"[-0.506664735308275, 1.0]"
"[-0.698273653484039, 1.0]"
"[-0.15358657991149893, 1.0]"
"[1.0, 1.0]"
"[-0.35619604938395877, 1.0]"
"[-0.8033390872620888, 1.0]"
"[-1.0, 1.0]"
"[0.1583925176161775, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-0.6018962931339515, 1.0]"
"[-0.04629061703749532, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-0.41425053298779907, 1.0]"
"[-0.693136339862213, 1.0]"
"[0.1550017926836058, -0.014621322136036737]"
"[0.5543696610449464, 0.997945517937118]"
"[-0.5068956599304505, 0.052447208607587004]"
"[1.0, 1.0]"
"[-0.3431430250474944, 1.0]"
"[-0.3628403414356011, 1.0]"
"[0.9413600988624565, 1.0]"
"[0.8600100441002938, 1.0]"
"[0.9656287928026736, -1.0]"
"[-0.7024269517894943, 1.0]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[1.0, 0.3627635070151029]"
"[-1.0, -0.230067793472787]"
"[-1.0, 1.0]"
"[1.0, 0.37902618703699364]"
"[1.0, 0.04150096684398233]"
"[-0.16499474250058704, 1.0]"
"[0.8292193479524517, -0.23135221831317282]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[-0.02750085532605967, -0.24553552719676822]"
"[1.0, -0.2791255376287359]"
"[1.0, 1.0]"
"[1.0, -0.264801177813701]"
"[1.0, -0.2067869399695197]"
"[0.07580999284402754, 1.0]"
"[1.0, -0.23729755602974342]"
"[1.0, -0.09333774658349037]"
"[-0.06423873643893052, -0.2948877318697467]"
"[1.0, -0.22073113059495558]"
"[0.32057354018524586, -0.16861316058508272]"
"[-0.13623329299721415, -0.1662937481128685]"
"[0.8272567398066929, -0.21285852145031223]"
"[-0.8724997594763371, -0.24799482919805746]"
"[0.12643387297049447, -0.24556072182057948]"
"[0.6050144908563767, -0.13845545228882075]"
"[-0.21569551023808806, -0.1398355692733278]"
"[0.0058379880803971496, -0.17350956865576578]"
"[0.335839096082305, 0.32458704930108295]"
"[0.8610922680033578, 0.09935895784893488]"
"[-0.23846162637788523, 0.16292472236104583]"
"[0.4112479116182161, -0.06812090912464354]"
"[0.6610805439740651, 0.15167944584790694]"
"[-1.0, 0.18397617856588436]"
"[-0.02170048576235883, 0.21991749196132498]"
"[0.42031659159882045, 0.1664923019057048]"
"[-0.3325447737108386, 0.149633097441534]"
"[0.2274989122347943, 0.12121774643545803]"
"[0.337254701324231, 0.14940045735444546]"
"[0.2154049784927426, 1.0]"
"[1.0, 0.3268992368477785]"
"[1.0, 0.43646437493184187]"
"[-1.0, 0.4867602455696501]"
"[0.6593962311388026, 1.0]"
"[0.5233629731677658, 1.0]"
"[0.7625654926204318, 1.0]"
"[1.0, 1.0]"
"[-0.3600864067257432, 1.0]"
"[-0.517802799282739, 1.0]"
"[0.9587999161541697, 1.0]"
"[1.0, 1.0]"
"[-0.9492223521059634, 1.0]"
"[1.0, 1.0]"
"[-0.6903301234097371, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-0.7454635478132858, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[0.6539773179505454, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[-0.3640270329036506, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[-0.733196722125728, 1.0]"
"[0.8832596102941137, 1.0]"
"[0.13075215603635176, 1.0]"
"[0.0751635375968857, 1.0]"
"[-0.8657124722350921, 1.0]"
"[0.30240642672995394, 1.0]"
"[1.0, 1.0]"
"[0.07953351087273214, 1.0]"
"[0.5497121785091633, 1.0]"
"[0.7181319165957247, 1.0]"
"[-0.8382181667197097, 1.0]"
"[-0.07986410759792084, 1.0]"
"[-0.18492399923061864, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[0.6971877872715024, 1.0]"
"[-0.5501335924185982, 1.0]"
"[-0.10332941060748183, 1.0]"
"[0.6794585132548532, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.46495939799468505, 1.0]"
"[-0.810041700554092, 1.0]"
"[0.33912718329968317, 0.7103551686610876]"
"[0.9480364522169556, 1.0]"
"[-0.5731557883349024, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[-0.9395563021892741, 1.0]"
"[1.0, 1.0]"
"[-0.5931315599193187, -0.2671333503553388]"
"[-1.0, -0.2860554371716762]"
"[-0.38185124718103136, -0.3251410445855606]"
"[-1.0, 1.0]"
"[0.18122146498756864, -0.1376296854932815]"
"[0.33648487270325, -1.0]"
"[-1.0, -0.17949520582221756]"
"[-1.0, -0.15538107224476377]"
"[-1.0, 1.0]"
"[1.0, -0.24579692015804536]"
"[-1.0, -0.17832801382431218]"
"[-1.0, 0.10502998668439269]"
"[1.0, -0.037863437614738496]"
"[1.0, -0.2992762567532917]"
"[-0.4274452474599303, -0.2797623190321954]"
"[-0.026809525469475903, -0.20738622214418734]"
"[0.15319407987552391, -0.2863802157644064]"
"[0.03164446294557457, -0.25357127255430406]"
"[-1.0, -0.15171741924703147]"
"[1.0, -0.2816561639409956]"
"[-1.0, -0.017466612045470634]"
"[-0.7047998885606532, -0.02592122547470682]"
"[-1.0, 0.026388567926577212]"
"[0.22559399977931494, 0.09074159056642031]"
"[0.25924837449875376, -0.1746797919460882]"
"[-1.0, 1.0]"
"[0.9412629714051121, -0.04548050872269202]"
"[-0.8543211231041314, -0.1628347298012651]"
"[0.31880812157110194, 0.24228341244522494]"
"[-0.8634836243144068, 0.013710923020562753]"
"[0.09370317735664144, 0.10030281923455658]"
"[-0.2876762061826008, 0.02500935658277116]"
"[-0.5757504392277019, -0.04056367209966251]"
"[0.2612831470022954, 0.2558773504022771]"
"[-1.0, 0.06619655381858669]"
"[-0.9591508378493174, 0.43581563385042044]"
"[0.7371324697819371, 0.22378721162769916]"
"[-0.3371379444461683, 0.1579855905878317]"
"[-0.8589356794939217, 0.2830373514380828]"
"[-0.14397451124078375, 0.16310570971674868]"
"[-0.9589992477444214, 0.44445689110841036]"
"[-0.1148729763637176, 1.0]"
"[-1.0, 1.0]"
"[0.32851911152160573, 1.0]"
"[-0.6058941730917894, 0.3546242081924503]"
"[-1.0, 0.594376426695613]"
"[-1.0, 0.36737046917024563]"
"[0.4741847555408172, 1.0]"
"[0.2818449322890947, 1.0]"
"[-0.9720738572426784, 1.0]"
"[0.9006210517264273, 1.0]"
"[-1.0, 0.7326849994864518]"
"[-0.5519308802301094, 1.0]"
"[-1.0, 1.0]"
"[-0.30150211756834533, 1.0]"
"[-0.7090730680110678, 1.0]"
"[0.16721324136546056, 1.0]"
"[0.8352174803312973, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.30913984431099495, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.5471314345868951, 1.0]"
"[1.0, 1.0]"
"[0.106985755661914, 1.0]"
"[-0.4500640241216918, 1.0]"
"[-1.0, 1.0]"
"[-0.11503164602905941, 1.0]"
"[-1.0, 1.0]"
"[0.6666498753719308, 1.0]"
"[0.9418290210222539, 1.0]"
"[0.2296839348059474, 1.0]"
"[-1.0, 1.0]"
"[-0.2514368393003651, 1.0]"
"[-1.0, 1.0]"
"[-0.25274022452186035, 1.0]"
"[0.3446842005530632, 1.0]"
"[-0.09780664348888521, 1.0]"
"[-0.30361382920311125, 1.0]"
"[0.9039794194263668, 1.0]"
"[-1.0, 1.0]"
"[0.3958194788078315, 1.0]"
"[-0.18983475476158404, 1.0]"
"[1.0, 1.0]"
"[-0.6707041913767389, 1.0]"
"[-0.2549766787548693, 1.0]"
"[0.6235705144834912, 1.0]"
"[0.5628783353242566, 1.0]"
"[0.3931597555771003, 1.0]"
"[-0.49588333628324766, 1.0]"
"[-0.8053740412668274, 1.0]"
"[0.24500385546207004, 1.0]"
"[0.9214892392504903, 1.0]"
"[0.4649726275517572, 1.0]"
"[-1.0, 1.0]"
"[0.5624328357588647, 1.0]"
"[-0.47484970442824004, 1.0]"
"[-0.8582650843478079, 1.0]"
"[0.4717089632467609, 1.0]"
"[1.0, 1.0]"
"[-0.6747596477279335, 1.0]"
"[-1.0, 1.0]"
"[0.3070727027961209, 1.0]"
"[0.031235178963496868, 1.0]"
"[-0.8053957290245866, 1.0]"
"[0.7918974904136016, 1.0]"
"[-0.9300596069983809, 1.0]"
"[0.6994687394053937, 1.0]"
"[0.19037010854682768, 1.0]"
"[-1.0, 1.0]"
"[-0.46359761677215955, 0.7899682072753127]"
"[-0.7774494430333984, 1.0]"
"[0.4565647784981538, 1.0]"
"[0.4801127152287169, 1.0]"
"[-0.609792743717053, 1.0]"
"[-1.0, 1.0]"
"[-0.015246900647833211, 1.0]"
"[0.9199039577035509, 1.0]"
"[-0.9865614720012815, 1.0]"
"[-1.0, 1.0]"
"[0.013548127900411017, 0.2016764216322544]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[-0.43844908695775303, 1.0]"
"[0.20869657079539616, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 0.22857099887200355]"
"[-0.9594275799391019, 0.13324895370509782]"
"[-1.0, 0.05947028078955385]"
"[-0.23781334942089868, 1.0]"
"[-0.3010086982911955, 1.0]"
"[0.8209484678875513, 0.20146284731584077]"
"[-0.7377822258200533, 0.2977216902016618]"
"[-1.0, 0.043891921263974745]"
"[-0.9063159812160644, 0.035295924368141635]"
"[0.2705893439349816, 1.0]"
"[-0.1307682751717253, -0.05047191168464093]"
"[-0.9856194119387106, 0.2821893327370256]"
"[-1.0, 0.3135875129686102]"
"[1.0, 0.3384020515426935]"
"[-0.5020120107713835, 0.10846621317816693]"
"[0.05874796468020129, -0.04998526669537404]"
"[-1.0, -0.04211491052798122]"
"[0.7766340442658607, 0.038449581707052566]"
"[-0.8147994090327157, -0.09340115123393823]"
"[0.2344076746715292, 0.004128642884671102]"
"[-1.0, -0.0945842152716691]"
"[0.12674300213405326, 0.12958030905121629]"
"[-1.0, 0.15126848571148468]"
"[0.6018936676215783, 0.1706422875579526]"
"[-0.22547591675987522, 0.16331154317101906]"
"[-1.0, 0.008859405702903982]"
"[0.7288931364799154, 0.059336303858552195]"
"[-0.32927910540451916, 1.0]"
"[-0.6557820020191896, 0.13622721556142522]"
"[-0.5232952549138383, 0.16655503174856062]"
"[-0.20097660762556133, 0.5621649011874766]"
"[-0.9608472925791303, 0.000938909768205847]"
"[0.09386401125911936, 0.24933728181082312]"
"[-0.5117615668139894, 0.02526447806247628]"
"[-0.6081547169841777, 0.28561952850952965]"
"[0.06325594725098416, -0.049077605511876475]"
"[-0.9562779013753964, 1.0]"
"[-0.5544080011792148, -0.04240194618826844]"
"[-0.8601250872032062, 0.08949571744949816]"
"[-0.4448613592438311, 0.0638609051271172]"
"[-0.8301181174222041, 0.15978779328771003]"
"[-1.0, 0.1500301340364641]"
"[-0.33487140137083793, 0.08916873660518675]"
"[-1.0, 1.0]"
"[-0.7823705743666722, 1.0]"
"[-0.6331028775663334, 1.0]"
"[-0.6849832264344156, -0.10576342850198124]"
