"[-0.3161119780298786, 0.4628978355833528]"
"[-0.06089237711292824, 0.38698282609683515]"
"[-0.4563463676615494, 0.978369595406859]"
"[-0.44910599357364767, 1.0]"
"[0.12584797492072533, 1.0]"
"[-0.2743113743792556, 1.0]"
"[0.12515273208706043, 1.0]"
"[-0.03151456956583151, 1.0]"
"[0.13352062601582065, 1.0]"
"[0.12003141917686452, 1.0]"
"[0.18537014135817695, 1.0]"
"[-0.1623342431966762, 1.0]"
"[-0.056443532842630484, 1.0]"
"[-0.010917458125609458, 1.0]"
"[0.1462863253680301, 1.0]"
"[-0.6897607854754407, 1.0]"
"[0.5803210631617205, 1.0]"
"[0.03321004792716244, 1.0]"
"[0.16672737518779635, 1.0]"
"[-0.08728271566830603, 1.0]"
"[-0.24183177075287227, 1.0]"
"[0.09647850419456014, 1.0]"
"[0.2627751072763382, 1.0]"
"[0.11857308257780522, 1.0]"
"[-0.7832407613980445, 1.0]"
"[0.2171369886468394, 1.0]"
"[-0.11294178814089365, 1.0]"
"[-0.590671406310256, 1.0]"
"[0.09538080087597303, 1.0]"
"[1.0, 1.0]"
"[-0.5234097351409108, 1.0]"
