"[-0.2753528049531781, 0.7115122040641302]"
"[-0.7266874936472648, 1.0]"
"[0.11932252004776095, 1.0]"
"[-0.25478975448621605, 1.0]"
"[-0.3874642652299112, 1.0]"
"[-0.015019849186243772, 1.0]"
"[-0.007590921781186675, 1.0]"
"[0.5068722685055317, 1.0]"
"[-0.15131124182646744, 1.0]"
"[0.1873810827411202, 1.0]"
"[-0.3535556714555251, 1.0]"
"[0.2109429285914147, 1.0]"
"[-0.20470753123444857, 1.0]"
"[0.19725885601887966, 1.0]"
"[0.3866683601562854, 1.0]"
"[-0.9351799175898923, 1.0]"
"[0.827002402897148, 1.0]"
"[-0.30754533263596046, 1.0]"
"[0.027483991761970056, 1.0]"
"[-0.3997145806406224, 1.0]"
"[1.0, 1.0]"
