"[-0.0206263972642832, 1.0]"
"[0.0475458099174583, 0.7334038180565376]"
"[-0.0828933848574851, 1.0]"
"[-0.6366054290045973, 1.0]"
"[-0.3291698443325708, 1.0]"
"[0.2528850682829882, 1.0]"
"[-0.527682652173048, 1.0]"
"[-0.21762949385851638, 1.0]"
"[0.2795484075090874, 1.0]"
"[-0.343659247068214, 1.0]"
"[0.38363550799663804, 1.0]"
"[-0.35103492848769674, 1.0]"
"[0.35816441793819564, 1.0]"
"[-0.32803960381205155, 1.0]"
"[-0.1567636447777343, 1.0]"
"[0.12254065303713023, 1.0]"
"[-0.6730740189157134, 1.0]"
"[0.1926004542635637, 1.0]"
"[-0.38021924757978964, 1.0]"
"[0.8047666198717557, 1.0]"
"[-0.31907916023800226, 1.0]"
"[0.32636003823586845, 1.0]"
"[0.4548328161747093, 1.0]"
"[0.14548077401371048, 1.0]"
"[-0.27662737323573716, 1.0]"
"[0.3058345004944061, 1.0]"
"[-0.05593000655901122, 1.0]"
"[-0.1040475969956306, 1.0]"
"[0.10127695273602313, 1.0]"
"[0.38964896289657186, 1.0]"
"[-0.40796950620581524, 1.0]"
