"[-0.09679751375980514, 0.8872261525808735]"
"[-0.21057940370763914, 0.570436329640845]"
"[-0.4269470412399461, 1.0]"
"[-0.1108045889974216, 1.0]"
"[0.00586391762034702, 1.0]"
"[-0.16652867775358546, 1.0]"
"[0.0020962756224228857, 1.0]"
"[-0.056955369802066, 1.0]"
"[-0.03688799531560445, 1.0]"
"[0.11850922462929975, 1.0]"
"[-0.24385023698038377, 1.0]"
"[0.08122259646886915, 1.0]"
"[-0.0311641668293811, 1.0]"
"[-0.08123351369161343, 1.0]"
"[-0.3192126344762088, 1.0]"
"[0.04395057843900052, 1.0]"
"[0.41067723950111706, 1.0]"
"[-1.0, 1.0]"
"[0.2198787103510961, 1.0]"
"[-0.17115103000742685, 1.0]"
"[-0.3588622664925967, 1.0]"
"[0.46472642808777725, 1.0]"
"[0.22016314163597034, 1.0]"
"[0.03685826046119683, 1.0]"
"[-0.12036398856396477, 1.0]"
"[0.12786065163466714, 1.0]"
"[-0.006939053912101492, 1.0]"
"[-0.4876779517251635, 1.0]"
"[0.34884145141444745, 1.0]"
"[0.012442766475120694, 1.0]"
"[0.6014527494832813, 1.0]"
