"[-0.12050893363994668, 0.3675121219560459]"
"[-0.34332841525746016, 1.0]"
"[-0.155874753135299, 1.0]"
"[0.18767450888933987, 1.0]"
"[0.028287175626786704, 1.0]"
"[-0.831628842942687, 1.0]"
"[0.18441182678068624, 1.0]"
"[0.05771072502813092, 1.0]"
"[-0.34464935113983935, 1.0]"
"[-0.5514881014097008, 1.0]"
"[0.5204664099973981, 1.0]"
"[0.3737165699406103, 1.0]"
"[0.13137056968648175, 1.0]"
"[0.21983814929174028, 1.0]"
"[-0.05109976797732631, 1.0]"
"[-0.18304659552380262, 1.0]"
"[-0.3484448915326886, 1.0]"
"[1.0, 1.0]"
"[-0.2993855382210285, 1.0]"
"[0.3473931970776731, 1.0]"
"[-0.144467600999275, 1.0]"
"[-0.3409100277824354, 1.0]"
"[0.10089537199611544, 1.0]"
"[0.14752671497870187, 1.0]"
"[0.2745418529502386, 1.0]"
"[0.03677195851691864, 1.0]"
"[0.14415046174715648, 1.0]"
"[-0.13846567096193335, 1.0]"
"[-0.26506868016099694, 1.0]"
"[0.906177081721727, 1.0]"
"[-0.20952161082880114, 1.0]"
