"[-0.22897683733888466, 0.4101567895564603]"
"[0.013815245923986766, 0.7427053648169706]"
"[-0.10333520133578418, 1.0]"
"[-0.17464122835734378, 1.0]"
"[-0.18515257692749057, 1.0]"
"[-0.5934677344065538, 1.0]"
"[-0.05388997549560061, 1.0]"
"[-0.025326587155920573, 1.0]"
"[-0.2925982093348779, 1.0]"
"[0.5696479221092763, 1.0]"
"[0.20000017505921905, 1.0]"
"[-0.026682741116315453, 1.0]"
"[0.12624023796218992, 1.0]"
"[-0.15880768280696278, 1.0]"
"[-0.04068499189406721, 1.0]"
"[0.31351696490210784, 1.0]"
"[-0.42482167722380537, 1.0]"
"[-0.27150264717213624, 1.0]"
"[0.2294054554299607, 1.0]"
"[0.06886630267640446, 1.0]"
"[0.2030311573861281, 1.0]"
