"[-0.3056472061916539, 0.2761885775885207]"
"[-0.014300550766880964, 1.0]"
"[-0.6741949097255141, 1.0]"
"[0.05028768368935556, 1.0]"
"[-0.3289712150964279, 1.0]"
"[-0.037724102884016134, 1.0]"
"[0.08318320783679449, 1.0]"
"[-0.06047071999843487, 1.0]"
"[-0.04587845304152885, 1.0]"
"[-0.18543872915516, 1.0]"
"[0.2112328148801689, 1.0]"
"[0.22685062511360576, 1.0]"
"[-0.2636087246718163, 1.0]"
"[0.2254543603827367, 1.0]"
"[0.12866745125981438, 1.0]"
"[-0.39327968456102635, 1.0]"
"[0.5895125317551478, 1.0]"
"[-0.020585043287387722, 1.0]"
"[0.058431020970180346, 1.0]"
"[-0.20755216813870522, 1.0]"
"[0.29534743281256054, 1.0]"
