"[-0.23141006796023916, 0.5547344800553493]"
"[-0.05458276312557206, 1.0]"
"[-0.5425491565849231, 1.0]"
"[-0.1806581488416579, 1.0]"
"[-0.0693723538273537, 1.0]"
"[-0.12560973252999394, 1.0]"
"[-0.13954834116284745, 1.0]"
"[0.10025548405682935, 1.0]"
"[0.15609327077574137, 1.0]"
"[0.03778705999530504, 1.0]"
"[-0.1437107558440589, 1.0]"
"[0.19649487431820784, 1.0]"
"[-0.17856110405559888, 1.0]"
"[0.33805246497724095, 1.0]"
"[-0.340746383504608, 1.0]"
"[-0.3778312650846485, 1.0]"
"[-0.1888414336448055, 1.0]"
"[0.658979702861493, 1.0]"
"[0.23502720899829072, 1.0]"
"[-0.36269680795074044, 1.0]"
"[0.3352170882427704, 1.0]"
"[-0.2958279175587437, 1.0]"
"[0.4004001549481618, 1.0]"
"[-1.0, 1.0]"
"[0.49099165746760953, 1.0]"
"[-0.46993586284821676, 1.0]"
"[-0.041973791060728266, 1.0]"
"[0.17132618787991027, 1.0]"
"[0.24484231663985476, 1.0]"
"[-0.2810635537610415, 1.0]"
"[-0.08877303699198288, 1.0]"
