"[-0.2616160300036606, 0.4095439853801167]"
"[-0.25088769257330146, 0.7922073596286293]"
"[0.028058478645494586, 1.0]"
"[-0.48903655395865586, 1.0]"
"[0.15369647749582324, 1.0]"
"[-0.6986531121313303, 1.0]"
"[0.5198747385476682, 1.0]"
"[-0.07800073225386045, 1.0]"
"[0.24464571836573673, 1.0]"
"[-0.28206873123185555, 1.0]"
"[0.375285374797817, 1.0]"
"[-0.09474969390479399, 1.0]"
"[0.057084141605576275, 1.0]"
"[0.044578688085401594, 1.0]"
"[0.09066971232759206, 1.0]"
"[0.1375269132363221, 1.0]"
"[-0.08262662179449742, 1.0]"
"[-0.040162350297684966, 1.0]"
"[0.18309907189085764, 1.0]"
"[-0.45575789647605064, 1.0]"
"[0.4185922613660413, 1.0]"
"[-0.11284246964302397, 1.0]"
"[-0.11435240290726152, 1.0]"
"[0.005277055261420895, 1.0]"
"[-0.266304233962465, 1.0]"
"[0.43868025746719985, 1.0]"
"[-0.2750501922398152, 1.0]"
"[0.9912119278356217, 1.0]"
"[-0.3374790468112718, 1.0]"
"[-0.2102836970170178, 1.0]"
"[0.4700451996853787, 1.0]"
"[0.12635529734436177, 1.0]"
"[-0.4160977745862585, 1.0]"
"[0.631580750963135, 1.0]"
"[0.29882142184925026, 1.0]"
"[-0.46411111005820427, 1.0]"
"[-1.0, 1.0]"
"[0.3103717583256612, 1.0]"
"[1.0, 1.0]"
"[-0.09398297857929841, 1.0]"
"[-1.0, 1.0]"
"[0.5172573447545186, 1.0]"
"[-0.625874136349458, 0.7685320898661279]"
"[0.39509323631921334, 0.9911221119104855]"
"[0.9387666692646706, 1.0]"
"[0.43979803859540373, 1.0]"
"[-0.38791275021113036, 1.0]"
"[-0.8856041789143926, 0.5761826330389181]"
"[-1.0, 1.0]"
"[-0.1353062555874758, 1.0]"
"[0.6102594257884533, -0.9649042751174509]"
"[0.8563205092842281, 1.0]"
"[-0.5793739333710897, 1.0]"
"[-0.14544140854444168, 1.0]"
"[-1.0, 0.42926695163285156]"
"[-0.7718709485964922, -0.32239370104853754]"
"[-1.0, 0.4881848980428495]"
"[-1.0, -0.07036057310886071]"
"[-0.4209224602731597, -1.0]"
"[1.0, -1.0]"
"[-1.0, -0.3367041697274509]"
"[-1.0, 1.0]"
"[-0.5527064792044594, -0.29519864655289135]"
"[-1.0, 1.0]"
"[-1.0, -0.30209003747891333]"
"[-1.0, 1.0]"
"[0.5375210891977223, -0.07211336048903141]"
"[-0.9988095786243736, -0.12431834419799975]"
"[-0.13862270850418054, -0.018494402978054214]"
"[-1.0, -0.04848392849945702]"
"[-0.40617486655998036, -0.09269437762134432]"
"[-0.6191064932387976, 0.021342322882375215]"
"[-1.0, 0.24142536381477472]"
"[-1.0, -0.009016074436178866]"
"[0.1482762510793441, 1.0]"
"[-1.0, 0.042054478937870454]"
"[-0.3839880366870205, -0.12573482103808092]"
"[-0.8466153166432188, 1.0]"
"[0.6429429985541896, -0.17953141837999398]"
"[-0.5453505734463192, -0.12818292459297798]"
"[-0.4270436389361023, -0.004499453877777115]"
"[-1.0, 0.12737583374055234]"
"[0.2835323506930473, 0.12084577157607874]"
"[-1.0, 0.014620946679440605]"
"[-0.3630732311182535, 0.0021426130298996537]"
"[-0.610977787802615, 0.11331689983253707]"
"[-0.21281755001241842, 0.002670247934886266]"
"[-1.0, 0.11731498224598527]"
"[0.07726767056980006, 1.0]"
"[-0.9501050847084933, 0.3008077155396547]"
"[-0.43180728442919897, 0.08953241654490046]"
"[-0.5838302504837596, 0.3307834500883172]"
"[-0.17457215771778734, 0.29207114386159705]"
"[-0.6652402218184958, 0.42972870542720065]"
"[-0.4618439140759984, 0.5098637707600921]"
"[-0.5898412762835912, 1.0]"
"[-0.7960219301637577, 0.4783278540429421]"
"[-1.0, 0.6983403839380892]"
"[0.6282250325350116, 0.4840979005880807]"
"[0.49535992580885824, 0.5721475363387047]"
"[-0.9865325789586847, 1.0]"
"[-0.6092413419127608, 0.7332433789307865]"
"[-1.0, 1.0]"
"[-0.629606152616262, 0.5485676073215362]"
"[-0.6786657127060686, 1.0]"
"[-1.0, 0.4209829332877234]"
"[-0.6778190077388434, 1.0]"
"[-1.0, 1.0]"
"[0.3114718977277945, 1.0]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.18442758322296704, 1.0]"
"[-0.2460051285301388, 1.0]"
"[-1.0, 1.0]"
"[0.5263123605334605, 1.0]"
"[-0.7452246631745335, 1.0]"
"[-0.6969627205931178, 1.0]"
"[1.0, 1.0]"
"[0.6468180967295907, 1.0]"
"[-0.38624378627933664, 1.0]"
"[-1.0, 1.0]"
"[-0.08693336092614162, 1.0]"
"[0.018163838601384513, 1.0]"
"[-0.4685184564118336, 1.0]"
"[-1.0, 1.0]"
"[1.0, 0.3259563684772199]"
"[0.5246581909163581, 1.0]"
"[-1.0, 1.0]"
"[0.3077069333471356, 0.1041223048082589]"
"[0.5252428530934037, 0.7294946798362033]"
"[0.6952766032319992, 1.0]"
"[0.37115119692775783, 1.0]"
"[-0.6447242475319487, 1.0]"
"[-0.7886396826567629, 0.13629772810579122]"
"[0.037742950744946706, 1.0]"
"[1.0, 1.0]"
"[0.7425477883320312, 1.0]"
"[0.9661234706660984, 1.0]"
"[1.0, 1.0]"
"[-0.1430027231955554, 0.10938252097401771]"
"[1.0, 1.0]"
"[1.0, -1.0]"
"[0.8463403197069377, -1.0]"
"[1.0, -1.0]"
"[0.2393202356767914, 1.0]"
"[1.0, -1.0]"
"[-1.0, 0.08318359578209274]"
"[0.8885801920719164, -0.25431707963784933]"
"[1.0, -0.24853361710210356]"
"[1.0, 0.29083974911326305]"
"[-1.0, 1.0]"
"[1.0, -0.04757896121800029]"
"[1.0, 0.26599834887437207]"
"[0.9072695761922454, 0.11062034887762164]"
"[-0.01804973108066113, -0.027533097866240377]"
"[1.0, 1.0]"
"[1.0, 0.021088137395014]"
"[-0.8458178478118654, -0.10630024318775817]"
"[-1.0, -0.2755358755387332]"
"[0.8713828124807472, -0.2913100124671167]"
"[-0.2472708628610333, -0.2604651510212435]"
"[1.0, -0.24016113511075393]"
"[0.11975302222351863, -0.16375608983764248]"
"[0.9359411469028802, -0.22250686322809946]"
"[0.429031531049416, 0.10786538895579409]"
"[0.6301042191802482, -0.04302927371006409]"
"[-1.0, -0.11787732336586837]"
"[1.0, 0.007951098025739275]"
"[1.0, 0.046471289589262]"
"[-0.41067012294849053, 0.16587803575506216]"
"[0.6404304053689829, 0.08967293482858582]"
"[-0.10614740113650883, 0.1800946218293274]"
"[1.0, -0.022016214153783006]"
"[-0.07163582346309212, 0.22581923277922275]"
"[0.7572665282196169, 0.1899570018317306]"
"[-1.0, 0.2519619864648924]"
"[0.5168443676130803, 0.17207885365864864]"
"[0.27655525759549915, 0.3810843262462441]"
"[0.771686211175009, 0.16112657752852308]"
"[-0.10577576560100034, 1.0]"
"[0.8524925262439529, 0.21423984203735003]"
"[0.09107492892448107, 0.4993000872771946]"
"[0.7507886569804274, 0.40178171961953146]"
"[0.34641270369816685, 0.6460392545866812]"
"[1.0, 0.2809097582361923]"
"[0.5710578006825351, 0.3630828272366089]"
"[1.0, 1.0]"
"[0.48246379662189964, 0.5401979885618342]"
"[0.8303440399926734, 1.0]"
"[0.7714234929220193, 1.0]"
"[-0.1964658517690785, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[1.0, 1.0]"
"[-0.3161913662037913, 1.0]"
"[0.7014377338601127, 1.0]"
"[0.6691344055756132, 1.0]"
"[1.0, 1.0]"
"[-0.04151248620764349, 1.0]"
"[1.0, 1.0]"
"[-0.6669307585879098, 1.0]"
"[-0.5911299815425455, 1.0]"
"[-1.0, 1.0]"
"[0.7283318189144057, 1.0]"
"[0.20628464711027644, 1.0]"
"[0.30833782613823474, 1.0]"
"[0.47110695507111, 1.0]"
"[0.4106434985395649, 1.0]"
"[0.9927080779377373, 1.0]"
"[0.23836928801086882, 1.0]"
"[-0.4608780104877694, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[-0.4960018176344494, 1.0]"
"[0.6902275453313039, 1.0]"
"[-0.6981220824962395, 1.0]"
"[0.7575688359613363, 1.0]"
"[0.9384667776719678, 1.0]"
"[0.3827836389201844, 1.0]"
"[-0.2766478429966517, 0.4667960887479286]"
"[-0.2662197954212249, 1.0]"
"[-0.28842156885978676, 1.0]"
"[0.6543472476097558, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[-0.8793906199767364, 1.0]"
"[-1.0, 0.9004611332667738]"
"[0.022466821022835842, 1.0]"
"[-1.0, 0.6497032007488829]"
"[0.20713099227480436, 1.0]"
"[0.7847707545088785, 1.0]"
"[0.4194107552107913, 1.0]"
"[-1.0, 1.0]"
"[-1.0, -1.0]"
"[-1.0, -1.0]"
"[-0.11056578559773991, 1.0]"
"[1.0, -1.0]"
"[-1.0, -0.9448242686441973]"
"[1.0, 0.256062301175354]"
"[-1.0, -1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.5598241203206505, -0.025444486899220138]"
"[-1.0, 1.0]"
"[-1.0, 0.17221931557176295]"
"[-1.0, 0.02674191122028674]"
"[-0.3729370988532345, 0.014356524024603703]"
"[-0.9207160848611953, 0.12930215902226766]"
"[-1.0, 0.025686738478727746]"
"[-0.49421228194244093, -0.013116908231121827]"
"[-0.3655024735394976, -0.1716829068318575]"
"[-0.3895172265750027, -0.19784085717781275]"
"[-0.836900006649469, -0.052655227198338206]"
"[-1.0, 1.0]"
"[-0.08703001494919423, 0.14848907180727652]"
"[-0.8476514764802566, 0.08660304286767326]"
"[-0.5832301251676894, -0.03185342962051021]"
"[-1.0, 0.020836176165734945]"
"[-0.03046592689063485, 0.09315723474966998]"
"[0.20429624859919962, -0.16842429158693625]"
"[-0.8335009433864994, -0.20812250511913827]"
"[0.5865339095826481, -0.15164869923861296]"
"[-1.0, -0.04016033364704567]"
"[0.48882624495576377, -0.10928724038413508]"
"[-0.6241641403689865, -0.026524432863234873]"
"[-0.21883557472534942, 0.18049872791821012]"
"[-0.39903561107203367, 0.1525762047469676]"
"[-0.6190531391319147, 1.0]"
"[1.0, 0.2132963454947545]"
"[-0.7898462866631311, -0.08708680494234361]"
"[-1.0, 0.26354850056280055]"
"[-0.29475252680545283, 0.2651589637101113]"
"[0.3662475666011818, 0.08049637665828355]"
"[-1.0, 0.27764301400159347]"
"[-0.23680096541984402, 0.41638107761350757]"
"[-0.7752290167947256, 1.0]"
"[-0.08788372974463557, 0.3937984036896599]"
"[-0.822706391735404, 0.1222432275955538]"
"[-0.33962450337460925, 0.24650526865640796]"
"[-0.9770185628586963, 0.6991016727205446]"
"[-0.9872871799301896, 1.0]"
"[-0.23207115408608917, 0.47297152816559074]"
"[-0.9365697048672722, 0.6218847864083664]"
"[-0.47026907586228855, 0.556578655427514]"
"[-1.0, 0.29765995097565406]"
