"[-0.060626804949696016, 0.5901587700704409]"
"[-0.25541384023037483, 0.9774628279561958]"
"[0.3629795116626499, 1.0]"
"[-0.11461496045872682, 1.0]"
"[-0.6263566869463889, 1.0]"
"[0.11360791529867864, 1.0]"
"[-0.12856305019144318, 1.0]"
"[-0.24054782906734004, 1.0]"
"[0.18663703781738178, 1.0]"
"[-0.09936584020701592, 1.0]"
"[-0.3070057389387723, 1.0]"
"[0.0749898433061003, 1.0]"
"[0.10141370886626158, 1.0]"
"[0.0027128253917760997, 1.0]"
"[-0.02153156213792183, 1.0]"
"[0.0742764201479589, 1.0]"
"[-0.1502881511662774, 1.0]"
"[0.18531568430677553, 1.0]"
"[0.1306370668370608, 1.0]"
"[-0.1819182913425067, 1.0]"
"[-0.0241411281063076, 1.0]"
"[-0.38374428626207313, 1.0]"
"[-0.03803626773815224, 1.0]"
"[-0.013392650384147137, 1.0]"
"[0.5929828179120027, 1.0]"
"[-0.23291008933439392, 1.0]"
"[-0.030396682197198866, 1.0]"
"[0.02192861869515089, 1.0]"
"[0.16175977528198562, 1.0]"
"[-1.0, 1.0]"
"[0.4240376089599551, 1.0]"
