"[-0.1532402592211282, 0.22615163456937]"
"[-0.43233940308507746, 0.5342664911272617]"
"[-0.0032801736866715225, 1.0]"
"[-0.7210252262913751, 1.0]"
"[-0.3668246802375157, 1.0]"
"[-0.07358506572459211, 1.0]"
"[0.2932884566600303, 1.0]"
"[-0.05048987458426083, 1.0]"
"[0.1865464861222036, 1.0]"
"[-0.22536609579602018, 1.0]"
"[0.04423220211542096, 1.0]"
"[-0.07897028054421877, 1.0]"
"[-0.05333616851359092, 1.0]"
"[0.5769730682235545, 1.0]"
"[-0.1994207363562842, 1.0]"
"[-0.004070985568109281, 1.0]"
"[0.13535717262361668, 1.0]"
"[-0.46911183759516906, 1.0]"
"[0.19816594835979662, 1.0]"
"[0.5293307945630829, 1.0]"
"[-0.16536467273789845, 1.0]"
