"[-0.1600907239766468, 0.623040406004963]"
"[0.07188718040121797, 1.0]"
"[-0.2340507865637148, 0.9657046178322526]"
"[-0.17528727278089865, 1.0]"
"[-0.2813786458545627, 1.0]"
"[-0.24176036932595418, 1.0]"
"[-0.05795551705689228, 1.0]"
"[-0.4876330159894642, 1.0]"
"[0.3141167909601077, 1.0]"
"[0.34341191725531844, 1.0]"
"[0.11317699489652144, 1.0]"
"[0.05751327961451487, 1.0]"
"[0.09430402156334222, 1.0]"
"[-0.26213409959741607, 1.0]"
"[-0.26384438812111366, 1.0]"
"[0.19591741623197756, 1.0]"
"[-0.055714198694087655, 1.0]"
"[-0.11148426593992004, 1.0]"
"[1.0, 1.0]"
"[-0.17124483154971104, 1.0]"
"[0.21558573724098254, 1.0]"
"[-0.14073298322164907, 1.0]"
"[0.2743630959800482, 1.0]"
"[-0.04488971289106291, 1.0]"
"[0.02786743833674478, 1.0]"
"[0.1921554286594353, 1.0]"
"[-0.731206273489815, 1.0]"
"[-0.3129195593093563, 1.0]"
"[0.4182600208028427, 1.0]"
"[-0.09910010855640808, 1.0]"
"[-0.434782703363177, 1.0]"
"[0.18880018266593387, 1.0]"
"[-0.4500439371321603, 1.0]"
"[1.0, 1.0]"
"[0.18529565060921718, 1.0]"
"[-0.09733803541865434, 1.0]"
"[0.892796539239856, 1.0]"
"[-0.9121730013113419, 1.0]"
"[-0.5468794138006593, 1.0]"
"[0.20087773686193922, 1.0]"
"[0.7296689236643574, 1.0]"
"[-0.7514975631153923, 1.0]"
"[-0.8769858316763656, 1.0]"
"[0.3841818099609899, 1.0]"
"[-0.2935259521682192, 1.0]"
"[0.5614514960145314, 1.0]"
"[-0.4806457106534794, 1.0]"
"[-1.0, 0.2983503344016747]"
"[-0.8851597597452936, 1.0]"
"[-1.0, 1.0]"
"[-1.0, -1.0]"
"[-0.6120687869469329, 0.29821098855568423]"
"[0.16610612982378717, 1.0]"
"[0.8310870389586699, -0.35097062864677214]"
"[-0.863807412807942, 1.0]"
"[-1.0, -0.3123577492952815]"
"[1.0, 1.0]"
"[-0.9014573592600811, 1.0]"
"[-0.6872780293985821, -1.0]"
"[-1.0, -0.3010163828083502]"
"[-0.32032456302292844, 0.06122755492674025]"
"[-1.0, 0.2355885342530053]"
"[-0.25542250279965184, -0.3681384085434669]"
"[-1.0, -0.1702307862041944]"
"[0.11869107020502527, -0.2241042895581995]"
"[-1.0, -0.22869957364366647]"
"[-0.08071602929001623, 1.0]"
"[-0.8405353146899818, -0.024077741305523287]"
"[-1.0, -0.09935882608945595]"
"[0.911844720752998, 0.010064440280369076]"
"[-1.0, -0.03692556373718703]"
"[-0.23499307136950962, -0.08288263393641276]"
"[-1.0, 1.0]"
"[0.09688102161245063, 0.011403652183745713]"
"[-0.3912169547705518, -0.18225125887779792]"
"[-1.0, 1.0]"
"[-0.06603807278539198, 0.052597826148147286]"
"[-0.3978539078715263, -0.10163485946286263]"
"[-0.5192762864840791, 0.04312411124833698]"
"[-1.0, -0.1621433100554864]"
"[-0.24853933809160267, -0.057061002162571046]"
"[-0.2661921118384295, 0.040153918053317667]"
"[-1.0, -0.1291587096627475]"
"[0.17064394315566975, -0.05615389596457594]"
"[-0.5794372223013274, 0.00991906401349646]"
"[-0.6689129289132144, -0.08305208639754677]"
"[-0.5542285997868671, 0.10086975096476702]"
"[-0.43960965300416455, 0.13080965779460257]"
"[-0.3810141833051292, 0.6751469780774049]"
"[-1.0, 1.0]"
"[-1.0, 0.19671281323053236]"
"[-0.0916812724856353, 1.0]"
"[-1.0, 0.19365806171350047]"
"[-0.9454055860600129, 0.35917446387817337]"
"[-0.42960791165222445, 0.34615780066742796]"
"[-0.7348729650357207, 0.6052681221596622]"
"[-0.7190809882008234, 0.48481033807366763]"
"[-0.2557084341403178, 1.0]"
"[-0.6840078999331654, 0.49918228825480243]"
"[-1.0, 0.5029073090187615]"
"[0.584022582829951, 0.5566524769922815]"
"[0.4229630224656075, 1.0]"
"[-0.8714135254374127, 0.5326583500959976]"
"[-0.7430724009255372, 0.7981273484818673]"
"[-0.5155636707118363, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[0.2698151604227301, 1.0]"
"[0.6109998976933445, 1.0]"
"[1.0, 1.0]"
"[-1.0, 1.0]"
"[-1.0, 1.0]"
"[0.46884698070359176, 1.0]"
"[-0.35536602160595404, 1.0]"
"[-0.6444129396740007, 1.0]"
"[-0.055570525843704255, 1.0]"
"[-0.9893123378536506, 1.0]"
"[1.0, 1.0]"
"[-0.07319684684736738, 1.0]"
"[0.2534689945037851, 1.0]"
"[0.4007156038467544, 1.0]"
"[-0.643229142421207, 1.0]"
"[-0.3080220801573203, 1.0]"
"[-0.6282054629853955, 1.0]"
"[-0.881644801666079, 1.0]"
"[0.33615929560246816, 1.0]"
"[1.0, 1.0]"
"[0.20924663069421517, 1.0]"
"[-1.0, 1.0]"
"[1.0, 1.0]"
"[0.08168190922901772, 1.0]"
"[-1.0, 1.0]"
"[0.35520997498595386, -1.0]"
"[0.7187375092721818, 1.0]"
"[-1.0, -1.0]"
"[0.7075105324060083, 1.0]"
"[0.48580610496524235, 1.0]"
"[-0.4209584772475599, 1.0]"
"[-0.9527156086946391, 0.3166642893411283]"
"[0.4377752750634959, 0.15485332658160667]"
"[0.6766340998067873, -0.07706863343316653]"
"[-0.6309232470516131, 1.0]"
"[-0.3410893322282551, -0.684983855675591]"
"[1.0, -0.5431057769996424]"
"[0.720854295607423, 1.0]"
"[1.0, -0.10033674636367643]"
"[-0.24144148703714613, 1.0]"
"[0.7581277662094213, 1.0]"
"[1.0, 0.20992729745892458]"
"[0.25845333359773287, 0.11560180380676642]"
"[1.0, 1.0]"
"[-1.0, -0.161351183503862]"
"[0.9660188859996824, 1.0]"
"[1.0, 0.004232619423970966]"
"[0.35107416443567746, -0.13878704431520308]"
"[1.0, -0.20183252101088656]"
"[-0.9593143825303738, -0.2995142353195791]"
"[1.0, -0.1717565145759623]"
"[0.660357553619371, -0.05911573941182249]"
"[0.7585027974743072, -0.19306922566429408]"
"[0.057031863979941005, -0.11167973483063498]"
"[0.9018134331996102, -0.2271031475229937]"
"[1.0, 0.0177281562056315]"
"[-0.7382097216061041, -0.05362640496876177]"
"[-0.3437849779947791, -0.10997307599414652]"
"[0.5929676782585077, -0.07074256822330818]"
"[-0.10901696929887526, -0.13862666880995644]"
"[0.43327920318293767, 0.010473576635205928]"
"[0.3196264481904008, 0.0438219889640559]"
"[-0.09992005006808943, 0.14530231216040485]"
"[1.0, -0.09859749264682173]"
"[-0.46741193741542353, 0.14777327516836647]"
"[0.9710814341570251, 0.019185584215980697]"
"[0.11272068315664162, 0.20957320801228785]"
"[0.25002390148636067, -0.08618323613217578]"
"[0.5901336320654266, 0.2738924037276038]"
"[-0.3820435700585087, 0.18080993871811288]"
"[0.24123371594586857, 0.24520456835875576]"
"[0.24132572480760478, 0.3238450668080893]"
"[1.0, 0.3415549165874007]"
"[1.0, 0.16342825726526006]"
"[-0.24138276995939126, 0.5175297605248407]"
"[1.0, 0.518902539794394]"
"[-0.21617329203871338, 1.0]"
"[1.0, 1.0]"
