"[-0.13420080652137462, 0.6491481455828176]"
"[-0.20396212620404924, 1.0]"
"[-0.056837703986859604, 1.0]"
"[-0.2507218424142311, 1.0]"
"[-0.04469218222092208, 1.0]"
"[-0.40221627593894976, 1.0]"
"[-0.45755280115781716, 1.0]"
"[0.23410903440522016, 1.0]"
"[0.3008024807855383, 1.0]"
"[-0.2350470967181038, 1.0]"
"[0.143008187058731, 1.0]"
"[0.0009563497638735707, 1.0]"
"[0.24806100470273926, 1.0]"
"[-0.30222982946808674, 1.0]"
"[0.28464087344868666, 1.0]"
"[-0.5841082581439868, 1.0]"
"[0.062138609345320464, 1.0]"
"[0.395481922669202, 1.0]"
"[-0.14358598870739653, 1.0]"
"[-0.13392024136918956, 1.0]"
"[0.07244872906258693, 1.0]"
