"[-0.05670082994270237, 0.29283074608447573]"
"[-0.3067561726711738, 1.0]"
"[-0.11281075192220345, 1.0]"
"[-0.35010753374302905, 1.0]"
"[-0.14534670651756776, 1.0]"
"[0.1299702725560102, 1.0]"
"[-0.21023999877296778, 1.0]"
"[0.16043309636336822, 1.0]"
"[-0.4395135026853569, 1.0]"
"[0.018003763694127865, 1.0]"
"[-0.09537952833595867, 1.0]"
"[0.279114417743631, 1.0]"
"[0.006651263711712263, 1.0]"
"[-0.497552059655629, 1.0]"
"[0.15773860493758934, 1.0]"
"[0.09433120797395794, 1.0]"
"[0.06805001304529366, 1.0]"
"[0.29146440434411475, 1.0]"
"[-0.2885019541205272, 1.0]"
"[0.2193776231642398, 1.0]"
"[0.20830608175319312, 1.0]"
